iter	Passed	Remaining
0	160	160803
1	161	80821
2	163	54241
3	164	40871
4	165	32885
5	166	27571
6	167	23796
7	171	21276
8	173	19136
9	175	17374
10	176	15877
11	177	14633
12	178	13573
13	179	12676
14	181	11896
15	182	11219
16	183	10624
17	186	10173
18	188	9740
19	189	9288
20	190	8883
21	191	8513
22	192	8187
23	193	7887
24	194	7604
25	195	7338
26	197	7119
27	198	6898
28	200	6701
29	201	6510
30	202	6326
31	203	6151
32	204	5995
33	205	5844
34	206	5701
35	207	5564
36	209	5453
37	210	5336
38	212	5229
39	213	5117
40	214	5011
41	216	4929
42	217	4836
43	218	4745
44	220	4672
45	221	4589
46	222	4508
47	223	4428
48	224	4350
49	225	4283
50	227	4235
51	228	4173
52	230	4112
53	231	4048
54	232	4001
55	233	3943
56	234	3887
57	236	3834
58	237	3782
59	238	3733
60	239	3682
61	241	3647
62	242	3608
63	244	3569
64	245	3527
65	246	3483
66	247	3441
67	248	3399
68	249	3360
69	250	3323
70	251	3293
71	252	3259
72	253	3224
73	255	3191
74	256	3159
75	257	3130
76	258	3101
77	260	3074
78	261	3048
79	263	3028
80	264	2999
81	265	2972
82	266	2939
83	267	2916
84	268	2892
85	270	2869
86	271	2847
87	272	2825
88	274	2813
89	276	2793
90	277	2771
91	278	2749
92	279	2727
93	280	2707
94	282	2687
95	283	2667
96	284	2647
97	285	2630
98	287	2613
99	289	2602
100	290	2586
101	292	2579
102	294	2563
103	295	2548
104	297	2535
105	298	2521
106	300	2507
107	301	2493
108	303	2480
109	304	2466
110	306	2453
111	307	2440
112	309	2427
113	310	2415
114	312	2402
115	313	2391
116	315	2378
117	316	2368
118	318	2361
119	321	2360
120	326	2369
121	329	2372
122	332	2370
123	334	2366
124	338	2367
125	342	2375
126	346	2382
127	351	2393
128	355	2398
129	357	2394
130	359	2387
131	361	2380
132	364	2374
133	366	2368
134	368	2359
135	369	2350
136	371	2340
137	373	2333
138	375	2323
139	376	2315
140	379	2314
141	381	2304
142	383	2297
143	385	2290
144	387	2283
145	389	2277
146	392	2277
147	394	2270
148	396	2263
149	397	2255
150	399	2246
151	401	2240
152	403	2235
153	405	2227
154	407	2222
155	409	2215
156	411	2208
157	412	2199
158	415	2195
159	416	2185
160	417	2174
161	419	2172
162	422	2170
163	425	2170
164	428	2166
165	430	2165
166	433	2162
167	435	2158
168	438	2158
169	441	2157
170	444	2154
171	446	2149
